InvoiceDate,InvoiceMonth,InvoiceYear,InvoiceWeekday,InvoiceHour,InvoiceWeekEndMS,InvoiceWeekEndSS,Segment,Country,InvoiceCount_Buy,ActiveCustomers_Buy,TotalQuantity_Buy,TotalSales_Buy,AvgSalesPerCustomer_Buy,ReturnCustomers,TotalSales_Return
2010-12-01 08:26:00,2010-12,2010,Wednesday,8,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,40.0,139.12,139.12,0,0.0
2010-12-01 08:28:00,2010-12,2010,Wednesday,8,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,12.0,22.200000000000003,22.200000000000003,0,0.0
2010-12-01 08:34:00,2010-12,2010,Wednesday,8,2010-12-05,2010-12-04,VIP,United Kingdom,2,1,98.0,348.7800000000001,348.7800000000001,0,0.0
2010-12-01 08:35:00,2010-12,2010,Wednesday,8,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,3.0,17.85,17.85,0,0.0
2010-12-01 08:45:00,2010-12,2010,Wednesday,8,2010-12-05,2010-12-04,VIP,France,1,1,449.0,855.86,855.86,0,0.0
2010-12-01 09:00:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,80.0,204.0,204.0,0,0.0
2010-12-01 09:01:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,12.0,22.200000000000003,22.200000000000003,0,0.0
2010-12-01 09:02:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,88.0,259.86,259.86,0,0.0
2010-12-01 09:09:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,Loyal,United Kingdom,1,1,32.0,350.4,350.4,0,0.0
2010-12-01 09:32:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,VIP,United Kingdom,2,2,200.0,588.6600000000001,294.33000000000004,0,0.0
2010-12-01 09:34:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,12.0,22.200000000000003,22.200000000000003,0,0.0
2010-12-01 09:37:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,VIP,United Kingdom,1,1,454.0,444.98,444.98,0,0.0
2010-12-01 09:41:00,2010-12,2010,Wednesday,9,2010-12-05,2010-12-04,VIP,United Kingdom,2,2,222.0,484.78,242.39,1,-27.5
