InvoiceDate,Segment,Country,ReturnInvoiceCount,ReturnCustomers,ReturnedQuantity,ReturnedSales
2010-12-01 09:41:00,VIP,United Kingdom,1,1,-1.0,-27.5
2010-12-01 09:49:00,VIP,United Kingdom,1,1,-1.0,-4.65
2010-12-01 10:24:00,,United Kingdom,1,1,-132.0,-141.48000000000002
2010-12-01 12:38:00,Active,United Kingdom,1,1,-6.0,-25.5
2010-12-01 14:30:00,VIP,United Kingdom,1,1,-3.0,-3.8
2010-12-01 14:33:00,VIP,Germany,1,1,-40.0,-122.3
2010-12-02 09:10:00,VIP,United Kingdom,1,1,-2.0,-5.9
2010-12-02 10:37:00,VIP,Germany,1,1,-2.0,-17.0
2010-12-02 10:46:00,VIP,United Kingdom,1,1,-2.0,-29.9
2010-12-02 11:56:00,VIP,United Kingdom,1,1,-1.0,-5.95
2010-12-02 12:50:00,VIP,United Kingdom,1,1,-5.0,-24.95
2010-12-02 13:05:00,New & Growing,United Kingdom,1,1,-2.0,-5.9
2010-12-02 14:23:00,VIP,United Kingdom,1,1,-9360.0,-280.8
2010-12-02 14:25:00,VIP,United Kingdom,1,1,-1.0,-2.1
2010-12-02 14:29:00,,United Kingdom,1,1,-4.0,-11.8
2010-12-02 16:45:00,VIP,United Kingdom,1,1,-3.0,-23.849999999999998
2010-12-02 16:58:00,,United Kingdom,1,1,-852.0,-883.08
2010-12-02 17:03:00,,United Kingdom,1,1,-23.0,-102.45
2010-12-02 17:05:00,VIP,United Kingdom,1,1,-2.0,-1.67
2010-12-02 17:06:00,VIP,United Kingdom,1,1,-2.0,-13.9
2010-12-02 17:08:00,VIP,EIRE,1,1,-2.0,-7.5
2010-12-02 17:09:00,,United Kingdom,1,1,-1.0,-1.25
2010-12-02 17:14:00,Loyal,United Kingdom,1,1,-4.0,-16.95
2010-12-02 17:19:00,Active,United Kingdom,1,1,-3.0,-37.65
2010-12-02 17:27:00,Active,United Kingdom,1,1,-3.0,-6.65
2010-12-02 17:30:00,VIP,United Kingdom,1,1,-5.0,-23.25
2010-12-02 17:31:00,VIP,United Kingdom,1,1,-3.0,-20.85
2010-12-02 17:35:00,New & Growing,United Kingdom,1,1,-4.0,-14.5
2010-12-02 17:36:00,New & Growing,United Kingdom,1,1,-1.0,-3.25
2010-12-03 09:47:00,,United Kingdom,1,1,-244.0,-1192.2000000000003
2010-12-03 10:07:00,,United Kingdom,1,1,-1.0,-2.55
2010-12-03 10:09:00,VIP,United Kingdom,1,1,-3.0,-5.45
2010-12-03 10:11:00,VIP,United Kingdom,1,1,-4.0,-31.8
2010-12-03 14:19:00,VIP,United Kingdom,1,1,-1.0,-9.95
2010-12-03 14:23:00,VIP,United Kingdom,1,1,-2.0,-5.7
2010-12-03 16:21:00,VIP,United Kingdom,1,1,-36.0,-75.60000000000001
2010-12-05 10:25:00,VIP,United Kingdom,1,1,-3.0,-8.32
2010-12-05 10:48:00,VIP,United Kingdom,1,1,-7.0,-13.389999999999999
2010-12-05 12:29:00,New & Growing,United Kingdom,1,1,-18.0,-289.15
2010-12-05 12:58:00,VIP,United Kingdom,1,1,-1.0,-7.95
2010-12-05 13:09:00,New & Growing,United Kingdom,1,1,-24.0,-30.0
2010-12-05 13:21:00,VIP,United Kingdom,1,1,-1.0,-29.29
2010-12-05 14:44:00,VIP,United Kingdom,1,1,-2.0,-12.899999999999999
2010-12-06 09:31:00,New & Growing,Italy,1,1,-2.0,-17.0
2010-12-06 09:40:00,VIP,United Kingdom,1,1,-20.0,-39.0
2010-12-06 10:45:00,,United Kingdom,1,1,-103.0,-219.72
2010-12-06 11:42:00,Active,United Kingdom,1,1,-4.0,-27.0
2010-12-06 11:47:00,Active,United Kingdom,1,1,-1.0,-8.95
2010-12-06 12:00:00,VIP,Germany,1,1,-4.0,-34.0
2010-12-06 12:55:00,VIP,United Kingdom,1,1,-1.0,-12.75
2010-12-06 13:12:00,Active,United Kingdom,1,1,-10.0,-21.0
